date,equity_share_capital,total_share_capital,reserves_and_surplus,total_reserves_and_surplus,total_shareholders_funds,long_term_borrowings,deferred_tax_liabilities_net,other_long_term_liabilities,long_term_provisions,total_non_current_liabilities,short_term_borrowings,trade_payables,other_current_liabilities,short_term_provisions,total_current_liabilities,total_capital_and_liabilities,tangible_assets,intangible_assets,capital_work_in_progress,other_assets,fixed_assets,non_current_investments,deferred_tax_assets_net,long_term_loans_and_advances,other_non_current_assets,total_non_current_assets,current_investments,inventories,trade_receivables,cash_and_cash_equivalents,short_term_loans_and_advances,othercurrentassets,total_current_assets,total_assets
2004-03-01,1395.95,1395.95,30322.97,33056.5,34452.45,15757.74,3811.41,0.0,0.0,19569.15,5186.92,9821.59,462.88,2670.75,18142.14,72163.74,31695.17,94.0,3356.81,0.0,35145.98,13971.4,336.59,0.0,0.0,49453.97,0.0,7231.22,3189.93,224.24,12064.38,0.0,22709.77,72163.74
2005-03-01,1393.09,1393.09,36280.35,39010.23,40403.32,15343.88,4633.46,0.0,0.0,19977.34,3440.71,12833.99,449.96,3847.57,20572.23,80952.89,30035.13,217.86,4829.29,0.0,35082.28,17051.46,366.64,0.0,0.0,52500.38,0.0,7412.88,3927.81,3608.79,13503.03,0.0,28452.51,80952.89
2006-03-01,1393.17,1393.17,43760.9,48411.09,49804.26,16515.76,5092.52,0.0,0.0,21608.28,5349.85,12166.87,396.63,3890.98,21804.33,93216.87,55433.57,283.18,6957.79,0.0,62674.54,5846.18,121.7,0.0,0.0,68642.42,0.0,10119.82,4163.62,2146.16,8144.85,0.0,24574.45,93216.87
2007-03-01,1393.21,1393.21,59861.81,62513.78,63906.99,19662.6,7279.66,0.0,0.0,26942.26,8163.13,16467.24,398.29,1712.87,26741.53,117650.92,63336.85,323.61,7528.13,0.0,71188.59,16251.34,297.64,0.0,0.0,87737.57,0.0,12136.51,3732.42,1835.35,12209.07,0.0,29913.35,117650.92
2008-03-01,1453.39,1453.39,77441.55,78312.81,79766.2,27957.18,8183.07,0.0,0.0,36140.25,8522.5,20590.45,455.02,2992.62,32560.59,150149.44,61494.69,388.94,23005.84,0.0,84889.47,22063.6,310.53,0.0,0.0,107263.6,0.0,14247.54,6227.58,4280.05,18130.67,0.0,42885.84,150149.44
2009-03-01,1573.53,1573.53,112945.44,124730.19,126303.72,67677.51,9973.81,0.0,0.0,77651.32,6226.97,31579.09,1111.91,3010.9,41928.87,245953.16,91254.54,9088.52,69043.83,0.0,169386.89,21606.49,247.51,0.0,0.0,191240.89,0.0,14836.72,4571.38,22176.53,13127.64,0.0,54712.27,245953.16
2010-03-01,3270.37,3270.37,125095.97,133900.24,137170.61,56544.4,11169.25,0.0,0.0,67713.65,5950.29,36055.6,793.8,3565.43,46365.12,251249.38,91776.74,61483.15,12138.82,0.0,165398.71,23228.62,242.95,0.0,0.0,188870.28,0.0,26981.62,11660.21,13462.65,10274.62,0.0,62379.1,251249.38
2011-03-01,3273.0,3273.0,142800.0,148267.0,151540.0,51124.0,11562.0,0.0,0.0,62686.0,12304.0,34844.0,18735.0,4601.0,70484.0,284719.0,93084.0,49623.0,2759.0,0.0,154935.0,23209.0,0.0,10698.0,0.0,188842.0,14443.0,29825.0,17442.0,27135.0,6833.0,199.0,95877.0,284719.0
2012-03-01,3271.0,3271.0,159698.0,162825.0,166096.0,48034.0,12122.0,0.0,0.0,60156.0,10593.0,40324.0,13713.0,4258.0,68888.0,295140.0,88001.0,25722.0,3695.0,0.0,121477.0,26979.0,0.0,14340.0,0.0,162796.0,27029.0,35955.0,18424.0,39598.0,11089.0,249.0,132344.0,295140.0
2013-03-01,3229.0,3229.0,175711.0,176766.0,179995.0,43012.0,12193.0,0.0,0.0,55205.0,11511.0,45787.0,21640.0,4348.0,83286.0,318511.0,82962.0,26786.0,13525.0,0.0,128864.0,24143.0,0.0,21528.0,0.0,174535.0,28366.0,42729.0,11880.0,49547.0,10974.0,480.0,143976.0,318511.0
