date,net_sales_income_from_operations,other_operating_income,total_income_from_operations,p_l_before_tax,net_profit_for_the_period,basic_eps,diluted_eps
1997-06-01,2659.0,0.0,0.0,0.0,375.0,0.0,0.0
1997-09-01,3671.0,0.0,0.0,0.0,465.0,0.0,0.0
1997-12-01,3506.0,0.0,0.0,0.0,435.0,0.0,0.0
1998-03-01,3568.0,0.0,0.0,0.0,378.0,0.0,0.0
1998-06-01,3645.0,0.0,0.0,0.0,441.0,0.0,0.0
1998-09-01,3729.0,0.0,0.0,0.0,480.0,0.0,0.0
1998-12-01,3573.0,0.0,0.0,0.0,402.0,0.0,0.0
1999-03-01,3606.0,0.0,0.0,0.0,381.0,0.0,0.0
1999-06-01,3837.0,0.0,0.0,0.0,510.0,0.0,0.0
1999-09-01,4836.0,0.0,0.0,0.0,612.0,0.0,0.0
1999-12-01,5034.0,0.0,0.0,0.0,627.0,0.0,0.0
2000-03-01,6594.0,0.0,6594.0,711.0,654.0,0.0,0.0
2000-06-01,6824.0,0.0,6824.0,612.0,612.0,0.0,0.0
2000-09-01,8394.0,0.0,8394.0,735.0,735.0,0.0,0.0
2000-12-01,6555.0,0.0,6555.0,759.0,759.0,0.0,0.0
2001-03-01,5900.0,0.0,5900.0,675.0,540.0,0.0,0.0
2001-06-01,6390.0,0.0,6390.0,648.0,618.0,0.0,0.0
2001-09-01,6234.0,0.0,6234.0,737.0,702.0,0.0,0.0
2001-12-01,5766.0,0.0,5766.0,500.0,822.0,0.0,0.0
2002-03-01,6642.0,0.0,6642.0,748.0,672.0,0.0,0.0
2002-06-01,11593.0,0.0,11593.0,1200.0,918.0,0.0,0.0
2002-09-01,12507.0,0.0,12507.0,1287.0,1002.0,0.0,0.0
2002-12-01,12033.0,0.0,12033.0,1354.0,1083.0,0.0,0.0
2003-03-01,13962.0,0.0,13962.0,1133.0,1101.0,0.0,0.0
2003-06-01,13509.0,0.0,13509.0,1426.0,1104.0,0.0,0.0
2003-09-01,13802.0,0.0,13802.0,1584.0,1263.0,0.0,0.0
2003-12-01,13622.0,0.0,13622.0,1624.0,1374.0,0.0,0.0
2004-03-01,15314.0,0.0,15314.0,1806.0,1419.0,0.0,0.0
2004-06-01,15746.0,0.0,15746.0,1768.0,1437.0,0.0,0.0
2004-09-01,17864.0,0.0,17864.0,2118.0,1752.0,0.0,0.0
2004-12-01,19714.0,0.0,19714.0,2504.0,2091.0,0.0,0.0
2005-03-01,19840.0,0.0,19840.0,2679.0,2292.0,0.0,0.0
2005-06-01,17784.0,0.0,17784.0,2732.0,2310.0,0.0,0.0
2005-09-01,22893.0,0.0,22893.0,2908.0,2481.0,0.0,0.0
2005-12-01,19899.0,0.0,19899.0,2138.0,1776.0,0.0,0.0
2006-03-01,26448.0,0.0,26448.0,2926.0,2502.0,0.0,0.0
2006-06-01,26166.0,0.0,26166.0,3108.0,2547.0,0.0,0.0
2006-09-01,29550.0,0.0,29550.0,3291.0,2709.0,0.0,0.0
2006-12-01,27771.0,0.0,27771.0,3396.0,2799.0,0.0,0.0
2007-03-01,27399.0,0.0,27399.0,3485.0,2853.0,0.0,0.0
