date,title,link,summary,text,sentiment_label,sentiment_score
2025-05-30,Reliance Industries’ arm adds 26.44 lakh subscribers in April,https://www.moneyworks4me.com/company/news/index/id/749653,The company’s total customer base has increased to 47.24 crore,Reliance Industries’ arm adds 26.44 lakh subscribers in April. The company’s total customer base has increased to 47.24 crore,positive,-0.8969262652099133
2025-05-08,Reliance Industries rises as its arm adds 21.74 lakh subscribers in March,https://www.moneyworks4me.com/company/news/index/id/740671,"The company’s total customer base has increased to 46.97 crore as on March 31, 2025","Reliance Industries rises as its arm adds 21.74 lakh subscribers in March. The company’s total customer base has increased to 46.97 crore as on March 31, 2025",positive,-0.9093163423240185
2025-05-08,Reliance Industries’ arm adds 21.74 lakh subscribers in March,https://www.moneyworks4me.com/company/news/index/id/740659,"The company’s total customer base has increased to 46.97 crore as on March 31, 2025","Reliance Industries’ arm adds 21.74 lakh subscribers in March. The company’s total customer base has increased to 46.97 crore as on March 31, 2025",positive,-0.871355876326561
2025-05-06,Reliance Industries’ JV completes India’s first offshore facilities decommissioning project,https://www.moneyworks4me.com/company/news/index/id/740104,The Tapti decommissioning project also played a pioneering role in shaping India’s regulatory and operational framework for offshore decommissioning,Reliance Industries’ JV completes India’s first offshore facilities decommissioning project. The Tapti decommissioning project also played a pioneering role in shaping India’s regulatory and operational framework for offshore decommissioning,neutral,0.22386059165000916
2024-05-30,Reliance Industries informs about loss of share certificates,https://www.moneyworks4me.com/company/news/index/id/659023,Reliance Industries informs about loss of share certificates,Reliance Industries informs about loss of share certificates. Reliance Industries informs about loss of share certificates,negative,0.4364564809948206
2024-05-22,Reliance Industries shines on entering into technology licensing agreement with Nel Hydrogen Electrolyser AS,https://www.moneyworks4me.com/company/news/index/id/654741,"Through the agreement, Reliance gets access to Nel’s leading, proven technology platform for manufacturing electrolysers","Reliance Industries shines on entering into technology licensing agreement with Nel Hydrogen Electrolyser AS. Through the agreement, Reliance gets access to Nel’s leading, proven technology platform for manufacturing electrolysers",positive,-0.8804674856364727
2024-05-22,Reliance Industries enters into technology licensing agreement with Nel Hydrogen Electrolyser AS,https://www.moneyworks4me.com/company/news/index/id/654716,"Through the agreement, Reliance gets access to Nel’s leading, proven technology platform for manufacturing electrolysers","Reliance Industries enters into technology licensing agreement with Nel Hydrogen Electrolyser AS. Through the agreement, Reliance gets access to Nel’s leading, proven technology platform for manufacturing electrolysers",positive,-0.84892588108778
2024-05-17,Reliance Industries gains after its arm partners to sell British online retailer ASOS' products in India,https://www.moneyworks4me.com/company/news/index/id/653189,The agreement is ASOS&#039; first country-wide exclusive retail partnership,Reliance Industries gains after its arm partners to sell British online retailer ASOS' products in India. The agreement is ASOS&#039; first country-wide exclusive retail partnership,positive,-0.7787725701928139
2024-05-17,"Reliance Industries’ arm deposits EMD of Rs 3,000 crore for upcoming spectrum auction",https://www.moneyworks4me.com/company/news/index/id/653192,"The government has scheduled an auction of eight spectrum bands for mobile phone services at a base price of about Rs 96,317 crore from June 6","Reliance Industries’ arm deposits EMD of Rs 3,000 crore for upcoming spectrum auction. The government has scheduled an auction of eight spectrum bands for mobile phone services at a base price of about Rs 96,317 crore from June 6",neutral,0.7006201148033142
2024-05-17,Reliance Industries' arm to sell British online retailer ASOS' products in India,https://www.moneyworks4me.com/company/news/index/id/653158,The agreement is ASOS&#039; first country-wide exclusive retail partnership,Reliance Industries' arm to sell British online retailer ASOS' products in India. The agreement is ASOS&#039; first country-wide exclusive retail partnership,positive,-0.21602115035057068
